PALABRA,CATEGORÍA,TIPO,GENERO,NÚMERO
componentes,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
comportamiento,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
comportamiento_humano,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
comportamiento_sexual,SUSTANTIVO,COMÚN,,
comportamiento_social,SUSTANTIVO,COMÚN,,
comportamientos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
composición,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
composición_musical,SUSTANTIVO,COMÚN,,
composiciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
compositor,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
compositores,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
compra,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
comprador,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
compradores,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
compras,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
comprensión,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
comprensión_lectora,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
comprensiones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
compromiso,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
compromiso_político,SUSTANTIVO,COMÚN,,
compromisos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
compuesto,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
compuestos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
comunicación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
comunicación_de_datos,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
comunicación_oral,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
comunicación_verbal,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
comunicaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
comunidad,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
comunidad_económica_europea,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
comunidad_europea,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
comunidad_humana,SUSTANTIVO,COMÚN,,
comunidades,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
comunión,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
comuniones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
comunismo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
comunismos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
comunista,SUSTANTIVO,COMÚN,COMÚN,SINGULAR
comunistas,SUSTANTIVO,COMÚN,COMÚN,PLURAL
concejal,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
concejales,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
concentración,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
concentraciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
concepción,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
concepciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
concepto,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
conceptos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
concesión,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
concesión_administrativa,SUSTANTIVO,COMÚN,,
concesiones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
conciencia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
conciencia_colectiva,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
conciencia_nacional,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
conciencia_pública,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
conciencia_social,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
conciencias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
concierto,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
conciertos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
concilio_vaticano_ii,SUSTANTIVO,COMÚN,MASCULINO,INVARIABLE
conclusión,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
conclusiones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
concurso,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
concursos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
condado,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
condados,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
conde,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
condena,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
condenado,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
condenados,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
condenas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
condes,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
condestable,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
condestables,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
condición,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
condicionamiento,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
condicionamientos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
condicionante,SUSTANTIVO,COMÚN,COMÚN,SINGULAR
condicionantes,SUSTANTIVO,COMÚN,COMÚN,PLURAL
condiciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
condiciones_ambientales,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
condiciones_atmosféricas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
condiciones_de_venta,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
condiciones_de_vida,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
condiciones_económicas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
condiciones_generales,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
conducta,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
conducta_humana,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
conductas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
conductor,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
conductores,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
conejo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
conejos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
conexión,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
conexión_a_la_red,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
conexiones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
confección,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
confecciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
conferencia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
conferencia_episcopal,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
conferencia_mundial,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
conferencias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
confesión,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
confesiones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
confianza,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
confianzas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
confidencia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
confidencias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
configuración,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
configuraciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
confirmación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
confirmaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
conflicto,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
conflicto_armado,SUSTANTIVO,COMÚN,,
conflicto_social,SUSTANTIVO,COMÚN,,
conflictos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
confluencia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
confluencias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
confrontación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
confrontaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
confusión,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
confusiones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
conglomerado,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
conglomerados,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
congoja,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
congojas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
congreso,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
congreso_nacional,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
congresos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
conífera,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
coníferas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
conjugación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
conjugaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
conjunción,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
conjunciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
conjunto,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
conjuntos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
connotación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
connotaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
conocedor,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
conocedores,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
conocimiento,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
conocimiento_científico,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
conocimiento_humano,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
conocimientos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
conquista,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
conquistas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
consagración,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
consagraciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
consciencia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
consciencias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
consecuencia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
consecuencias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
consejero,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
consejeros,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
consejo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
consejo_de_estado,SUSTANTIVO,COMÚN,,
consejo_de_europa,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
consejo_de_la_unión_europea,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
consejo_de_ministros,SUSTANTIVO,COMÚN,,
consejo_de_seguridad,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
consejo_directivo,SUSTANTIVO,COMÚN,,
consejo_económico_y_social,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
consejo_ejecutivo,SUSTANTIVO,COMÚN,,
consejo_municipal,SUSTANTIVO,COMÚN,,
consejo_nacional,SUSTANTIVO,COMÚN,,
consejo_permanente,SUSTANTIVO,COMÚN,,
consejos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
conseller,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
consellers,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
conservación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
conservaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
conservador,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
conservadores,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
conservatorio_de_música,SUSTANTIVO,COMÚN,,
consideración,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
consideraciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
consolidación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
consolidaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
consonante,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
consonantes,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
conspiración,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
conspiraciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
constancia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
constancias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
constante,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
constantes,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
constatación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
constataciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
constitución,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
constituciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
construcción,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
construcción_naval,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
construcciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
consuelo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
consuelos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
cónsul,SUSTANTIVO,COMÚN,COMÚN,SINGULAR
cónsules,SUSTANTIVO,COMÚN,COMÚN,PLURAL
consulta,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
consulta_popular,SUSTANTIVO,COMÚN,,
consultas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
consumidor,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
consumidores,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
consumo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
consumos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
contabilidad_financiera,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
contacto,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
contactos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
contagio,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
contagios,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
contaminación_acústica,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
contaminación_ambiental,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
contaminación_atmosférica,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
contaminación_del_agua,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
contemplación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
contemplaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
contenido,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
contenidos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
contexto,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
contextos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
continente,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
continentes,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
contingente,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
contingentes,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
continuación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
continuaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
continuidad,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
continuidades,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
contorno,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
contornos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
contra,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
contra,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
contrabando,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
contrabandos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
contradicción,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
contradicciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
contrario,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
contrarios,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
contras,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
contras,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
contraste,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
contrastes,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
contratación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
contratación_de_personal,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
contrataciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
contrato,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
contrato_de_obra,SUSTANTIVO,COMÚN,,
contrato_social,SUSTANTIVO,COMÚN,,
contratos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
contribución,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
contribuciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
control,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
control_de_flujo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
control_de_gestión,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
control_médico,SUSTANTIVO,COMÚN,,
control_numérico,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
controles,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
convención_de_ginebra,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
convención_europea,SUSTANTIVO,COMÚN,,
conveniencia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
conveniencias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
convenio,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
convenios,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
convento,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
conventos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
convergencia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
convergencias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
conversación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
conversaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
conversión,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
conversiones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
convicción,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
convicciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
convivencia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
convivencias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
convocatoria,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
convocatorias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
coño,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
coños,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
cooperación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
cooperación_económica,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
cooperaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
cooperativa,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
cooperativas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
coordenadas_geográficas,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
coordinación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
coordinaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
copa,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
copa_de_europa,SUSTANTIVO,COMÚN,,
copa_intercontinental,SUSTANTIVO,COMÚN,,
copas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
copia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
copias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
copla,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
coplas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
coraje,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
corajes,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
coral,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
coral,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
corales,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
corales,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
corazón,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
corazones,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
corbata,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
corbatas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
cordero,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
corderos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
cordillera,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
cordilleras,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
cordón,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
cordones,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
coro,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
corona,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
coronas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
coronel,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
coroneles,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
coros,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
corporación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
corporaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
corral,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
corrales,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
corredor,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
corredores,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
correlación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
correlación_de_fuerzas,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
correlaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
correo_basura,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
correo_no_deseado,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
correspondencia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
correspondencias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
corriente,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
corriente,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
corrientes,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
corrientes,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
corro,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
corros,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
corrupción,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
corrupciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
corte,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
corte,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
corte_suprema,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
cortes,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
cortes,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
cortes_generales,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
cortesía,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
cortesías,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
corteza,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
corteza_cerebral,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
cortezas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
cortijo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
cortijos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
cortina,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
cortinas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
cosa,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
cosa_juzgada,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
cosas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
cosecha,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
cosechas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
costa,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
costado,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
costados,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
costas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
coste,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
costes,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
costo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
costos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
costra,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
costras,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
costumbre,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
costumbres,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
coulomb,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
coulombs,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
creación,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
creaciones,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
creador,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
creadores,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
crecimiento,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
crecimiento_de_la_población,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
crecimiento_urbano,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
crecimientos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
credibilidad,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
credibilidades,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
crédito,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
crédito_personal,SUSTANTIVO,COMÚN,,
créditos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
creencia,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
creencias,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
crepúsculo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
crepúsculos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
cresta,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
crestas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
cría,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
criada,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
criadas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
criado,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
criados,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
crías,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
criatura,SUSTANTIVO,COMÚN,FEMENINO,SINGULAR
criaturas,SUSTANTIVO,COMÚN,FEMENINO,PLURAL
crimen,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
crímenes,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
crío,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
críos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
crisis,SUSTANTIVO,COMÚN,FEMENINO,INVARIABLE
crisis_económica,SUSTANTIVO,COMÚN,,
cristal,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
cristales,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
cristianismo,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
cristianismos,SUSTANTIVO,COMÚN,MASCULINO,PLURAL
cristiano,SUSTANTIVO,COMÚN,MASCULINO,SINGULAR
