PALABRA,CATEGORÍA,TERMINACIÓN,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
cuartear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cuartelar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cuartelizar,VERBO,AR,,,,NORECONOCIDO
cuatrodoblar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cubicar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cubijar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cubilar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cubiletear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cubrir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cucar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cuchar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cucharear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cucharetear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cuchichear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cuchichiar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cuchillar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
cuchuchear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cuerpear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cuestionar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cuidar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cuitar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
cuitear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
culebrear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
culminar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
culpabilizar,VERBO,AR,,,,NORECONOCIDO
culpar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cultiparlar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cultivar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
culturar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
culturizar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cumbear,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
cumplimentar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cumplir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cumular,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cunar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cundir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cunear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cuntir,VERBO,IR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
cuotear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cuotizar,VERBO,AR,,,,NORECONOCIDO
cuquear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
curar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
curear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
curiar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
curiosear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
currar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cursar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
curtir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
curvar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
cusir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
custodiar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
custrir,VERBO,IR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
cutir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dañar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dadivar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
daguerrotipar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dallar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
damasquinar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
damnar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
damnificar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
danzar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
datar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
datear,VERBO,AR,,,,NORECONOCIDO
davalar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deñar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
deambular,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
debandar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
debatir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
debelar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deber,VERBO,ER,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
debilitar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
debrocar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
debruzar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
debutar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
decaer,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
decalcificar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
decalvar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
decampar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
decantar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
decapar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
decapitar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
decebir,VERBO,IR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
decender,VERBO,ER,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
decentar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
decepar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
decepcionar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
decercar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
decernir,VERBO,IR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
decerrumbar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
decidir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
decimar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
decir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
declamar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
declarar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
declinar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
decodificar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
decolgar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
decolorar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
decomisar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
decorar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
decorrer,VERBO,ER,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
decorticar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
decrecer,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
decrepitar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
decretar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deculpar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
decuplicar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dedicar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dedignar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dedolar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deducir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
defalcar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
defamar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
defecar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
defender,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
defenecer,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
defenestrar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
defensar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
deferir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
defesar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
defiar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
definir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deflagrar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
defleccionar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deflegmar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
defoir,VERBO,IR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
defondonar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
deforestar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deformar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
defragmentar,VERBO,MALESCRITO:desfragmentar,RECONOCIDO,NOREFLEXIVO
defraudar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
defuir,VERBO,IR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
degastar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
degenerar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
degestir,VERBO,IR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
deglutir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
degollar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
degradar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
degustar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dehabituar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dehender,VERBO,ER,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
dehesar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dehortar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
deificar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dejar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dejarretar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
dejemplar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
dejugar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
delatar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
delaxar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
delectar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
delegar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deleitar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
delejar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
deletrear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deleznar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
delgazar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
deliñar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
deliberar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
delibrar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
deliciar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
delimitar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
delinear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
delinquir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
delirar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
delongar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
deludir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
demacrar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
demandar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
demarcar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
demarrar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
demasiar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
demediar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dementar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
demigar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
demitir,VERBO,IR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
democratizar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
demoler,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
demonstrar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
demorar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
demostrar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
demudar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
demulcir,VERBO,IR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
denegar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
denegrecer,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
denegrir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
denguear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
denigrar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
denodar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
denominar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
denostar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
denotar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
densar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
densificar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dentar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dentecer,VERBO,ER,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
dentellar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dentellear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dentrar,VERBO,AR,,,,NORECONOCIDO
dentrotraer,VERBO,ER,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
denudar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
denunciar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deparar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
departir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
depauperar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
depender,VERBO,ER,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
depilar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deplorar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deponer,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deportar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deposar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
depositar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
depravar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deprecar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
depreciar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
depredar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deprehender,VERBO,ER,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
deprender,VERBO,ER,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deprimir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
depurar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deputar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
derelinquir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
derezar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
derivar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
derogar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
derrabar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
derraigar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
derramar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
derrancar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
derranchar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
derrapar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
derrelinquir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
derrenegar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
derrengar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
derretir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
derribar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
derriscar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
derrocar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
derrochar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
derromper,VERBO,ER,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
derronchar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
derrostrar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
derrotar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
derrubar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
derrubiar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
derruir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
derrumbar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
derrumbiar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
desañudar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desabarrancar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desabastecer,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desabatir,VERBO,IR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
desabejar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desabollar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desabonar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
desaborar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
desabordar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
desabotonar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desabreviar,VERBO,AR,,,,NORECONOCIDO
desabrigar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desabrir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desabrochar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desacalorar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
desacantonar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desacatar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desacedar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desaceitar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desacelerar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desacerar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desacerbar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desacertar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desacobardar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desacollar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desacomodar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desacompañar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desaconsejar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desacoplar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desacordar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desacorralar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desacostumbrar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desacotar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desacralizar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desacreditar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desactivar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desacuartelar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desaderezar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desadeudar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desadormecer,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desadornar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desadvertir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desafamar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
desafear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desafeitar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
desaferrar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desafiar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desaficionar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desafijar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
desafilar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desafinar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desafiuciar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
desafiuzar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
desaforar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desaforrar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
