PALABRA,CATEGORÍA,TIPO,GENERO,NUMERO
cariño,NOMBRE,COMÚN,MASCULINO,SINGULAR
cariños,NOMBRE,COMÚN,MASCULINO,PLURAL
cariz,NOMBRE,COMÚN,MASCULINO,SINGULAR
carla,NOMBRE,COMÚN,FEMENINO,SINGULAR
carlas,NOMBRE,COMÚN,FEMENINO,PLURAL
carmen,NOMBRE,COMÚN,MASCULINO,SINGULAR
cármenes,NOMBRE,COMÚN,MASCULINO,PLURAL
carne,NOMBRE,COMÚN,FEMENINO,SINGULAR
carnes,NOMBRE,COMÚN,FEMENINO,PLURAL
carnet_de_conducir,NOMBRE,COMÚN,,
carrera,NOMBRE,COMÚN,FEMENINO,SINGULAR
carreras,NOMBRE,COMÚN,FEMENINO,PLURAL
carretera,NOMBRE,COMÚN,FEMENINO,SINGULAR
carreteras,NOMBRE,COMÚN,FEMENINO,PLURAL
carretilla,NOMBRE,COMÚN,FEMENINO,SINGULAR
carretillas,NOMBRE,COMÚN,FEMENINO,PLURAL
carro,NOMBRE,COMÚN,MASCULINO,SINGULAR
carros,NOMBRE,COMÚN,MASCULINO,PLURAL
carta,NOMBRE,COMÚN,FEMENINO,SINGULAR
carta_apostólica,NOMBRE,COMÚN,,
carta_certificada,NOMBRE,COMÚN,,
carta_de_las_naciones_unidas,NOMBRE,COMÚN,FEMENINO,SINGULAR
carta_magna,NOMBRE,COMÚN,,
cartas,NOMBRE,COMÚN,FEMENINO,PLURAL
cartel,NOMBRE,COMÚN,MASCULINO,SINGULAR
carteles,NOMBRE,COMÚN,MASCULINO,PLURAL
cartera,NOMBRE,COMÚN,FEMENINO,SINGULAR
cartera_de_clientes,NOMBRE,COMÚN,,
cartera_de_valores,NOMBRE,COMÚN,,
carteras,NOMBRE,COMÚN,FEMENINO,PLURAL
cartón,NOMBRE,COMÚN,MASCULINO,SINGULAR
cartones,NOMBRE,COMÚN,MASCULINO,PLURAL
casa-museo,NOMBRE,COMÚN,,
casa,NOMBRE,COMÚN,FEMENINO,SINGULAR
casa_rural,NOMBRE,COMÚN,,
casas,NOMBRE,COMÚN,FEMENINO,PLURAL
casco,NOMBRE,COMÚN,MASCULINO,SINGULAR
cascos,NOMBRE,COMÚN,MASCULINO,PLURAL
casero,NOMBRE,COMÚN,MASCULINO,SINGULAR
caseros,NOMBRE,COMÚN,MASCULINO,PLURAL
cash-flow,NOMBRE,COMÚN,COMÚN,INVARIABLE
caso,NOMBRE,COMÚN,MASCULINO,SINGULAR
casos,NOMBRE,COMÚN,MASCULINO,PLURAL
casta,NOMBRE,COMÚN,FEMENINO,SINGULAR
castaño,NOMBRE,COMÚN,MASCULINO,SINGULAR
castaños,NOMBRE,COMÚN,MASCULINO,PLURAL
castas,NOMBRE,COMÚN,FEMENINO,PLURAL
castellano,NOMBRE,COMÚN,MASCULINO,SINGULAR
castellanos,NOMBRE,COMÚN,MASCULINO,PLURAL
castigo,NOMBRE,COMÚN,MASCULINO,SINGULAR
castigos,NOMBRE,COMÚN,MASCULINO,PLURAL
castilla,NOMBRE,COMÚN,FEMENINO,SINGULAR
castillas,NOMBRE,COMÚN,FEMENINO,PLURAL
castillo,NOMBRE,COMÚN,MASCULINO,SINGULAR
castillos,NOMBRE,COMÚN,MASCULINO,PLURAL
castración,NOMBRE,COMÚN,FEMENINO,SINGULAR
castraciones,NOMBRE,COMÚN,FEMENINO,PLURAL
castro,NOMBRE,COMÚN,MASCULINO,SINGULAR
castros,NOMBRE,COMÚN,MASCULINO,PLURAL
casualidad,NOMBRE,COMÚN,FEMENINO,SINGULAR
casualidades,NOMBRE,COMÚN,FEMENINO,PLURAL
catalán,NOMBRE,COMÚN,MASCULINO,SINGULAR
catalanes,NOMBRE,COMÚN,MASCULINO,PLURAL
catalanismo,NOMBRE,COMÚN,MASCULINO,SINGULAR
catalanismos,NOMBRE,COMÚN,MASCULINO,PLURAL
catalanoparlante,NOMBRE,COMÚN,COMÚN,SINGULAR
catalanoparlantes,NOMBRE,COMÚN,COMÚN,PLURAL
catalina,NOMBRE,COMÚN,FEMENINO,SINGULAR
catalinas,NOMBRE,COMÚN,FEMENINO,PLURAL
catarro,NOMBRE,COMÚN,MASCULINO,SINGULAR
catarros,NOMBRE,COMÚN,MASCULINO,PLURAL
catástrofe,NOMBRE,COMÚN,FEMENINO,SINGULAR
catástrofes,NOMBRE,COMÚN,FEMENINO,PLURAL
catedral,NOMBRE,COMÚN,FEMENINO,SINGULAR
catedrales,NOMBRE,COMÚN,FEMENINO,PLURAL
catedrático,NOMBRE,COMÚN,MASCULINO,SINGULAR
catedráticos,NOMBRE,COMÚN,MASCULINO,PLURAL
categoría,NOMBRE,COMÚN,FEMENINO,SINGULAR
categorías,NOMBRE,COMÚN,FEMENINO,PLURAL
cauce,NOMBRE,COMÚN,MASCULINO,SINGULAR
cauces,NOMBRE,COMÚN,MASCULINO,PLURAL
caudal,NOMBRE,COMÚN,MASCULINO,SINGULAR
caudales,NOMBRE,COMÚN,MASCULINO,PLURAL
causa-efecto,NOMBRE,COMÚN,COMÚN,INVARIABLE
causa,NOMBRE,COMÚN,FEMENINO,SINGULAR
causas,NOMBRE,COMÚN,FEMENINO,PLURAL
cavidad,NOMBRE,COMÚN,FEMENINO,SINGULAR
cavidades,NOMBRE,COMÚN,FEMENINO,PLURAL
caza,NOMBRE,COMÚN,FEMENINO,SINGULAR
caza,NOMBRE,COMÚN,MASCULINO,SINGULAR
cazador,NOMBRE,COMÚN,MASCULINO,SINGULAR
cazadores,NOMBRE,COMÚN,MASCULINO,PLURAL
cazas,NOMBRE,COMÚN,FEMENINO,PLURAL
cazas,NOMBRE,COMÚN,MASCULINO,PLURAL
cd-rom,NOMBRE,COMÚN,COMÚN,INVARIABLE
cebolla,NOMBRE,COMÚN,FEMENINO,SINGULAR
cebollas,NOMBRE,COMÚN,FEMENINO,PLURAL
ceja,NOMBRE,COMÚN,FEMENINO,SINGULAR
cejas,NOMBRE,COMÚN,FEMENINO,PLURAL
celda,NOMBRE,COMÚN,FEMENINO,SINGULAR
celdas,NOMBRE,COMÚN,FEMENINO,PLURAL
celebración,NOMBRE,COMÚN,FEMENINO,SINGULAR
celebraciones,NOMBRE,COMÚN,FEMENINO,PLURAL
celo,NOMBRE,COMÚN,MASCULINO,SINGULAR
celos,NOMBRE,COMÚN,MASCULINO,PLURAL
celta,NOMBRE,COMÚN,COMÚN,SINGULAR
celtas,NOMBRE,COMÚN,COMÚN,PLURAL
célula,NOMBRE,COMÚN,FEMENINO,SINGULAR
células,NOMBRE,COMÚN,FEMENINO,PLURAL
cementerio,NOMBRE,COMÚN,MASCULINO,SINGULAR
cementerios,NOMBRE,COMÚN,MASCULINO,PLURAL
cemento,NOMBRE,COMÚN,MASCULINO,SINGULAR
cementos,NOMBRE,COMÚN,MASCULINO,PLURAL
cena,NOMBRE,COMÚN,FEMENINO,SINGULAR
cenas,NOMBRE,COMÚN,FEMENINO,PLURAL
cenefa,NOMBRE,COMÚN,FEMENINO,SINGULAR
cenefas,NOMBRE,COMÚN,FEMENINO,PLURAL
ceniza,NOMBRE,COMÚN,FEMENINO,SINGULAR
cenizas,NOMBRE,COMÚN,FEMENINO,PLURAL
censo,NOMBRE,COMÚN,MASCULINO,SINGULAR
censo_de_población,NOMBRE,COMÚN,,
censos,NOMBRE,COMÚN,MASCULINO,PLURAL
censura,NOMBRE,COMÚN,FEMENINO,SINGULAR
censuras,NOMBRE,COMÚN,FEMENINO,PLURAL
centenar,NOMBRE,COMÚN,MASCULINO,SINGULAR
centenares,NOMBRE,COMÚN,MASCULINO,PLURAL
centilitro,NOMBRE,COMÚN,MASCULINO,PLURAL
centilitros,NOMBRE,COMÚN,MASCULINO,PLURAL
centímetro,NOMBRE,COMÚN,,
centimetro,NOMBRE,COMÚN,MASCULINO,SINGULAR
centímetros,NOMBRE,COMÚN,MASCULINO,PLURAL
central,NOMBRE,COMÚN,FEMENINO,SINGULAR
central_hidroeléctrica,NOMBRE,COMÚN,,
central_nuclear,NOMBRE,COMÚN,,
central_térmica,NOMBRE,COMÚN,,
centrales,NOMBRE,COMÚN,FEMENINO,PLURAL
centro,NOMBRE,COMÚN,MASCULINO,SINGULAR
centro_asistencial,NOMBRE,COMÚN,,
centro_cívico,NOMBRE,COMÚN,,
centro_de_atención_al_cliente,NOMBRE,COMÚN,,
centro_de_día,NOMBRE,COMÚN,,
centro_de_documentación,NOMBRE,COMÚN,,
centro_de_gestión,NOMBRE,COMÚN,,
centro_de_rehabilitación,NOMBRE,COMÚN,,
centro_escolar,NOMBRE,COMÚN,,
centro_hospitalario,NOMBRE,COMÚN,,
centro_penitenciario,NOMBRE,COMÚN,,
centros,NOMBRE,COMÚN,MASCULINO,PLURAL
céntupla,NOMBRE,COMÚN,FEMENINO,SINGULAR
céntuplas,NOMBRE,COMÚN,FEMENINO,PLURAL
céntuple,NOMBRE,COMÚN,COMÚN,SINGULAR
céntuples,NOMBRE,COMÚN,COMÚN,PLURAL
céntuplo,NOMBRE,COMÚN,MASCULINO,SINGULAR
céntuplos,NOMBRE,COMÚN,MASCULINO,PLURAL
centuria,NOMBRE,COMÚN,FEMENINO,SINGULAR
centurias,NOMBRE,COMÚN,FEMENINO,PLURAL
cepillo_de_dientes,NOMBRE,COMÚN,,
cerámica,NOMBRE,COMÚN,FEMENINO,SINGULAR
cerámicas,NOMBRE,COMÚN,FEMENINO,PLURAL
cerca,NOMBRE,COMÚN,FEMENINO,SINGULAR
cercanía,NOMBRE,COMÚN,FEMENINO,SINGULAR
cercanías,NOMBRE,COMÚN,FEMENINO,PLURAL
cercas,NOMBRE,COMÚN,FEMENINO,PLURAL
cerco,NOMBRE,COMÚN,MASCULINO,SINGULAR
cercos,NOMBRE,COMÚN,MASCULINO,PLURAL
cerdo,NOMBRE,COMÚN,MASCULINO,SINGULAR
cerdos,NOMBRE,COMÚN,MASCULINO,PLURAL
cereal,NOMBRE,COMÚN,MASCULINO,SINGULAR
cereales,NOMBRE,COMÚN,MASCULINO,PLURAL
cerebro,NOMBRE,COMÚN,MASCULINO,SINGULAR
cerebros,NOMBRE,COMÚN,MASCULINO,PLURAL
ceremonia,NOMBRE,COMÚN,FEMENINO,SINGULAR
ceremonia_de_clausura,NOMBRE,COMÚN,,
ceremonias,NOMBRE,COMÚN,FEMENINO,PLURAL
cero,NOMBRE,COMÚN,FEMENINO,PLURAL
cero,NOMBRE,COMÚN,MASCULINO,SINGULAR
ceros,NOMBRE,COMÚN,MASCULINO,PLURAL
cerradura,NOMBRE,COMÚN,FEMENINO,SINGULAR
cerraduras,NOMBRE,COMÚN,FEMENINO,PLURAL
cerramiento,NOMBRE,COMÚN,MASCULINO,SINGULAR
cerramientos,NOMBRE,COMÚN,MASCULINO,PLURAL
cerro,NOMBRE,COMÚN,MASCULINO,SINGULAR
cerros,NOMBRE,COMÚN,MASCULINO,PLURAL
certeza,NOMBRE,COMÚN,FEMENINO,SINGULAR
certezas,NOMBRE,COMÚN,FEMENINO,PLURAL
certificado_de_asistencia,NOMBRE,COMÚN,,
certificado_de_estudios,NOMBRE,COMÚN,,
certificado_de_nacimiento,NOMBRE,COMÚN,,
cerveza,NOMBRE,COMÚN,FEMENINO,SINGULAR
cervezas,NOMBRE,COMÚN,FEMENINO,PLURAL
ces,NOMBRE,COMÚN,FEMENINO,PLURAL
césped,NOMBRE,COMÚN,MASCULINO,SINGULAR
céspedes,NOMBRE,COMÚN,MASCULINO,PLURAL
cesto,NOMBRE,COMÚN,MASCULINO,SINGULAR
cestos,NOMBRE,COMÚN,MASCULINO,PLURAL
cha-cha-cha,NOMBRE,COMÚN,COMÚN,INVARIABLE
chabola,NOMBRE,COMÚN,FEMENINO,SINGULAR
chabolas,NOMBRE,COMÚN,FEMENINO,PLURAL
chacha,NOMBRE,COMÚN,FEMENINO,SINGULAR
chachas,NOMBRE,COMÚN,FEMENINO,PLURAL
champán,NOMBRE,COMÚN,MASCULINO,SINGULAR
champanes,NOMBRE,COMÚN,MASCULINO,PLURAL
chancha,NOMBRE,COMÚN,FEMENINO,SINGULAR
chanchas,NOMBRE,COMÚN,FEMENINO,PLURAL
chaqueta,NOMBRE,COMÚN,FEMENINO,SINGULAR
chaquetas,NOMBRE,COMÚN,FEMENINO,PLURAL
charco,NOMBRE,COMÚN,MASCULINO,SINGULAR
charcos,NOMBRE,COMÚN,MASCULINO,PLURAL
charla,NOMBRE,COMÚN,FEMENINO,SINGULAR
charlas,NOMBRE,COMÚN,FEMENINO,PLURAL
chaval,NOMBRE,COMÚN,MASCULINO,SINGULAR
chavales,NOMBRE,COMÚN,MASCULINO,PLURAL
cheque_certificado,NOMBRE,COMÚN,,
chica,NOMBRE,COMÚN,FEMENINO,SINGULAR
chicas,NOMBRE,COMÚN,FEMENINO,PLURAL
chico,NOMBRE,COMÚN,MASCULINO,SINGULAR
chicos,NOMBRE,COMÚN,MASCULINO,PLURAL
chile,NOMBRE,COMÚN,MASCULINO,SINGULAR
chiles,NOMBRE,COMÚN,MASCULINO,PLURAL
chimenea,NOMBRE,COMÚN,FEMENINO,SINGULAR
chimeneas,NOMBRE,COMÚN,FEMENINO,PLURAL
china,NOMBRE,COMÚN,FEMENINO,SINGULAR
chinas,NOMBRE,COMÚN,FEMENINO,PLURAL
chino,NOMBRE,COMÚN,MASCULINO,SINGULAR
chino_mandarón,NOMBRE,COMÚN,,
chinos,NOMBRE,COMÚN,MASCULINO,PLURAL
chiquillo,NOMBRE,COMÚN,MASCULINO,SINGULAR
chiquillos,NOMBRE,COMÚN,MASCULINO,PLURAL
chisme,NOMBRE,COMÚN,MASCULINO,SINGULAR
chismes,NOMBRE,COMÚN,MASCULINO,PLURAL
chispa,NOMBRE,COMÚN,FEMENINO,SINGULAR
chispas,NOMBRE,COMÚN,FEMENINO,PLURAL
chiste,NOMBRE,COMÚN,MASCULINO,SINGULAR
chistes,NOMBRE,COMÚN,MASCULINO,PLURAL
chocolate,NOMBRE,COMÚN,MASCULINO,SINGULAR
chocolates,NOMBRE,COMÚN,MASCULINO,PLURAL
chófer,NOMBRE,COMÚN,MASCULINO,SINGULAR
chóferes,NOMBRE,COMÚN,MASCULINO,PLURAL
choque,NOMBRE,COMÚN,MASCULINO,SINGULAR
choques,NOMBRE,COMÚN,MASCULINO,PLURAL
chorro_de_agua,NOMBRE,COMÚN,,
choza,NOMBRE,COMÚN,FEMENINO,SINGULAR
chozas,NOMBRE,COMÚN,FEMENINO,PLURAL
cicatrices,NOMBRE,COMÚN,FEMENINO,PLURAL
cicatriz,NOMBRE,COMÚN,FEMENINO,SINGULAR
ciclo,NOMBRE,COMÚN,MASCULINO,SINGULAR
ciclo_económico,NOMBRE,COMÚN,,
ciclo_formativo,NOMBRE,COMÚN,,
ciclo_vital,NOMBRE,COMÚN,,
ciclos,NOMBRE,COMÚN,MASCULINO,PLURAL
ciclotimia,NOMBRE,COMÚN,FEMENINO,SINGULAR
ciclotimias,NOMBRE,COMÚN,FEMENINO,PLURAL
cielo,NOMBRE,COMÚN,MASCULINO,SINGULAR
cielos,NOMBRE,COMÚN,MASCULINO,PLURAL
ciencia,NOMBRE,COMÚN,FEMENINO,SINGULAR
ciencia_biológica,NOMBRE,COMÚN,,
ciencia_de_la_educación,NOMBRE,COMÚN,,
ciencia_de_la_naturaleza,NOMBRE,COMÚN,,
ciencia_empresarial,NOMBRE,COMÚN,,
ciencias,NOMBRE,COMÚN,FEMENINO,PLURAL
científico,NOMBRE,COMÚN,MASCULINO,SINGULAR
científicos,NOMBRE,COMÚN,MASCULINO,PLURAL
cientos,NOMBRE,COMÚN,MASCULINO,PLURAL
cierre,NOMBRE,COMÚN,MASCULINO,SINGULAR
cierres,NOMBRE,COMÚN,MASCULINO,PLURAL
cifra,NOMBRE,COMÚN,,
cifra_de_negocio,NOMBRE,COMÚN,,
cifras,NOMBRE,COMÚN,FEMENINO,PLURAL
cigarrillo,NOMBRE,COMÚN,MASCULINO,SINGULAR
cigarrillos,NOMBRE,COMÚN,MASCULINO,PLURAL
cima,NOMBRE,COMÚN,FEMENINO,SINGULAR
cimas,NOMBRE,COMÚN,FEMENINO,PLURAL
cimiento,NOMBRE,COMÚN,MASCULINO,SINGULAR
cimientos,NOMBRE,COMÚN,MASCULINO,PLURAL
cine,NOMBRE,COMÚN,MASCULINO,SINGULAR
cine_de_terror,NOMBRE,COMÚN,MASCULINO,SINGULAR
cine_documental,NOMBRE,COMÚN,MASCULINO,SINGULAR
cine_erótico,NOMBRE,COMÚN,MASCULINO,SINGULAR
cine_fantástico,NOMBRE,COMÚN,MASCULINO,SINGULAR
cines,NOMBRE,COMÚN,MASCULINO,PLURAL
cinta,NOMBRE,COMÚN,FEMENINO,SINGULAR
cinta_adhesiva,NOMBRE,COMÚN,FEMENINO,SINGULAR
cintas,NOMBRE,COMÚN,FEMENINO,PLURAL
cintura,NOMBRE,COMÚN,FEMENINO,SINGULAR
cinturas,NOMBRE,COMÚN,FEMENINO,PLURAL
cinturón,NOMBRE,COMÚN,MASCULINO,SINGULAR
cinturones,NOMBRE,COMÚN,MASCULINO,PLURAL
circo,NOMBRE,COMÚN,MASCULINO,SINGULAR
circos,NOMBRE,COMÚN,MASCULINO,PLURAL
circuito,NOMBRE,COMÚN,MASCULINO,SINGULAR
circuito_cerrado,NOMBRE,COMÚN,,
circuitos,NOMBRE,COMÚN,MASCULINO,PLURAL
circulación,NOMBRE,COMÚN,FEMENINO,SINGULAR
circulación_sanguínea,NOMBRE,COMÚN,FEMENINO,SINGULAR
circulaciones,NOMBRE,COMÚN,FEMENINO,PLURAL
círculo,NOMBRE,COMÚN,MASCULINO,SINGULAR
círculos,NOMBRE,COMÚN,MASCULINO,PLURAL
circunstancia,NOMBRE,COMÚN,FEMENINO,SINGULAR
circunstancias,NOMBRE,COMÚN,FEMENINO,PLURAL
cirio,NOMBRE,COMÚN,MASCULINO,SINGULAR
cirios,NOMBRE,COMÚN,MASCULINO,PLURAL
cirugía_torácica,NOMBRE,COMÚN,FEMENINO,SINGULAR
cirugía_vascular,NOMBRE,COMÚN,FEMENINO,SINGULAR
cita,NOMBRE,COMÚN,,
citación,NOMBRE,COMÚN,FEMENINO,SINGULAR
citaciones,NOMBRE,COMÚN,FEMENINO,PLURAL
citas,NOMBRE,COMÚN,FEMENINO,PLURAL
ciudad,NOMBRE,COMÚN,FEMENINO,SINGULAR
ciudadano,NOMBRE,COMÚN,MASCULINO,SINGULAR
ciudadanos,NOMBRE,COMÚN,MASCULINO,PLURAL
ciudades,NOMBRE,COMÚN,FEMENINO,PLURAL
civilización,NOMBRE,COMÚN,FEMENINO,SINGULAR
civilizaciones,NOMBRE,COMÚN,FEMENINO,PLURAL
cl,NOMBRE,COMÚN,MASCULINO,PLURAL
clan,NOMBRE,COMÚN,MASCULINO,SINGULAR
clanes,NOMBRE,COMÚN,MASCULINO,PLURAL
claridad,NOMBRE,COMÚN,FEMENINO,SINGULAR
claridades,NOMBRE,COMÚN,FEMENINO,PLURAL
clase,NOMBRE,COMÚN,FEMENINO,SINGULAR
clase_obrera,NOMBRE,COMÚN,FEMENINO,SINGULAR
clase_política,NOMBRE,COMÚN,FEMENINO,SINGULAR
clase_social,NOMBRE,COMÚN,,
clase_trabajadora,NOMBRE,COMÚN,,
clases,NOMBRE,COMÚN,FEMENINO,PLURAL
clasificación,NOMBRE,COMÚN,FEMENINO,SINGULAR
clasificaciones,NOMBRE,COMÚN,FEMENINO,PLURAL
claustro_de_profesores,NOMBRE,COMÚN,,
cláusula,NOMBRE,COMÚN,FEMENINO,SINGULAR
cláusulas,NOMBRE,COMÚN,FEMENINO,PLURAL
clave,NOMBRE,COMÚN,FEMENINO,SINGULAR
clave,NOMBRE,COMÚN,MASCULINO,SINGULAR
clave_de_acceso,NOMBRE,COMÚN,,
clavel,NOMBRE,COMÚN,MASCULINO,SINGULAR
claveles,NOMBRE,COMÚN,MASCULINO,PLURAL
claves,NOMBRE,COMÚN,FEMENINO,PLURAL
claves,NOMBRE,COMÚN,MASCULINO,PLURAL
clavo,NOMBRE,COMÚN,MASCULINO,SINGULAR
clavos,NOMBRE,COMÚN,MASCULINO,PLURAL
cliente-servidor,NOMBRE,COMÚN,COMÚN,INVARIABLE
cliente,NOMBRE,COMÚN,COMÚN,SINGULAR
clientela,NOMBRE,COMÚN,FEMENINO,SINGULAR
clientelas,NOMBRE,COMÚN,FEMENINO,PLURAL
clientes,NOMBRE,COMÚN,COMÚN,PLURAL
clima,NOMBRE,COMÚN,MASCULINO,SINGULAR
clima_mediterráneo,NOMBRE,COMÚN,MASCULINO,SINGULAR
clima_templado,NOMBRE,COMÚN,MASCULINO,SINGULAR
clima_tropical,NOMBRE,COMÚN,MASCULINO,SINGULAR
climas,NOMBRE,COMÚN,MASCULINO,PLURAL
clónica,NOMBRE,COMÚN,FEMENINO,SINGULAR
clónicas,NOMBRE,COMÚN,FEMENINO,PLURAL
cloruro,NOMBRE,COMÚN,MASCULINO,SINGULAR
cloruros,NOMBRE,COMÚN,MASCULINO,PLURAL
club,NOMBRE,COMÚN,MASCULINO,SINGULAR
clube,NOMBRE,COMÚN,MASCULINO,SINGULAR
clubes,NOMBRE,COMÚN,MASCULINO,PLURAL
clubs,NOMBRE,COMÚN,MASCULINO,PLURAL
cm2,NOMBRE,COMÚN,MASCULINO,PLURAL
cm3,NOMBRE,COMÚN,MASCULINO,PLURAL
coalición,NOMBRE,COMÚN,FEMENINO,SINGULAR
coaliciones,NOMBRE,COMÚN,FEMENINO,PLURAL
cobertura,NOMBRE,COMÚN,FEMENINO,SINGULAR
coberturas,NOMBRE,COMÚN,FEMENINO,PLURAL
cobijo,NOMBRE,COMÚN,MASCULINO,SINGULAR
cobijos,NOMBRE,COMÚN,MASCULINO,PLURAL
cobre,NOMBRE,COMÚN,MASCULINO,SINGULAR
cobres,NOMBRE,COMÚN,MASCULINO,PLURAL
coca,NOMBRE,COMÚN,FEMENINO,SINGULAR
cocaína,NOMBRE,COMÚN,FEMENINO,SINGULAR
cocaínas,NOMBRE,COMÚN,FEMENINO,PLURAL
cocas,NOMBRE,COMÚN,FEMENINO,PLURAL
coche,NOMBRE,COMÚN,MASCULINO,SINGULAR
coches,NOMBRE,COMÚN,MASCULINO,PLURAL
cocina,NOMBRE,COMÚN,FEMENINO,SINGULAR
cocinas,NOMBRE,COMÚN,FEMENINO,PLURAL
codificación,NOMBRE,COMÚN,FEMENINO,SINGULAR
codificaciones,NOMBRE,COMÚN,FEMENINO,PLURAL
código,NOMBRE,COMÚN,MASCULINO,SINGULAR
código_de_comercio,NOMBRE,COMÚN,,
código_de_identificación,NOMBRE,COMÚN,,
código_ético,NOMBRE,COMÚN,,
código_fuente,NOMBRE,COMÚN,MASCULINO,SINGULAR
código_genético,NOMBRE,COMÚN,MASCULINO,SINGULAR
códigos,NOMBRE,COMÚN,MASCULINO,PLURAL
codo,NOMBRE,COMÚN,MASCULINO,SINGULAR
codos,NOMBRE,COMÚN,MASCULINO,PLURAL
coeficiente,NOMBRE,COMÚN,MASCULINO,SINGULAR
coeficientes,NOMBRE,COMÚN,MASCULINO,PLURAL
coherencia,NOMBRE,COMÚN,FEMENINO,SINGULAR
coherencias,NOMBRE,COMÚN,FEMENINO,PLURAL
cohesión,NOMBRE,COMÚN,FEMENINO,SINGULAR
cohesiones,NOMBRE,COMÚN,FEMENINO,PLURAL
cohete,NOMBRE,COMÚN,MASCULINO,SINGULAR
cohetes,NOMBRE,COMÚN,MASCULINO,PLURAL
coincidencia,NOMBRE,COMÚN,FEMENINO,SINGULAR
coincidencias,NOMBRE,COMÚN,FEMENINO,PLURAL
cojín,NOMBRE,COMÚN,MASCULINO,SINGULAR
cojines,NOMBRE,COMÚN,MASCULINO,PLURAL
cola,NOMBRE,COMÚN,FEMENINO,SINGULAR
colaboración,NOMBRE,COMÚN,FEMENINO,SINGULAR
colaboraciones,NOMBRE,COMÚN,FEMENINO,PLURAL
colaborador,NOMBRE,COMÚN,MASCULINO,SINGULAR
colaboradores,NOMBRE,COMÚN,MASCULINO,PLURAL
colapso,NOMBRE,COMÚN,MASCULINO,SINGULAR
colapsos,NOMBRE,COMÚN,MASCULINO,PLURAL
colas,NOMBRE,COMÚN,FEMENINO,PLURAL
colección,NOMBRE,COMÚN,FEMENINO,SINGULAR
colección_privada,NOMBRE,COMÚN,,
colecciones,NOMBRE,COMÚN,FEMENINO,PLURAL
colectividad,NOMBRE,COMÚN,FEMENINO,SINGULAR
colectividades,NOMBRE,COMÚN,FEMENINO,PLURAL
colectivo,NOMBRE,COMÚN,MASCULINO,SINGULAR
colectivos,NOMBRE,COMÚN,MASCULINO,PLURAL
colega,NOMBRE,COMÚN,COMÚN,SINGULAR
colegas,NOMBRE,COMÚN,COMÚN,PLURAL
colegio,NOMBRE,COMÚN,MASCULINO,SINGULAR
colegio_de_abogados,NOMBRE,COMÚN,,
colegio_nacional,NOMBRE,COMÚN,,
colegio_público,NOMBRE,COMÚN,,
colegios,NOMBRE,COMÚN,MASCULINO,PLURAL
cólera,NOMBRE,COMÚN,FEMENINO,SINGULAR
cólera,NOMBRE,COMÚN,MASCULINO,SINGULAR
cóleras,NOMBRE,COMÚN,FEMENINO,PLURAL
cóleras,NOMBRE,COMÚN,MASCULINO,PLURAL
colina,NOMBRE,COMÚN,FEMENINO,SINGULAR
colinas,NOMBRE,COMÚN,FEMENINO,PLURAL
collar,NOMBRE,COMÚN,MASCULINO,SINGULAR
collares,NOMBRE,COMÚN,MASCULINO,PLURAL
colmo,NOMBRE,COMÚN,MASCULINO,SINGULAR
colmos,NOMBRE,COMÚN,MASCULINO,PLURAL
colonia,NOMBRE,COMÚN,FEMENINO,SINGULAR
colonias,NOMBRE,COMÚN,FEMENINO,PLURAL
colonización,NOMBRE,COMÚN,FEMENINO,SINGULAR
colonizaciones,NOMBRE,COMÚN,FEMENINO,PLURAL
color,NOMBRE,COMÚN,MASCULINO,SINGULAR
colores,NOMBRE,COMÚN,MASCULINO,PLURAL
columbio,NOMBRE,COMÚN,MASCULINO,PLURAL
columbios,NOMBRE,COMÚN,MASCULINO,PLURAL
columna,NOMBRE,COMÚN,FEMENINO,SINGULAR
columnas,NOMBRE,COMÚN,FEMENINO,PLURAL
coma,NOMBRE,COMÚN,FEMENINO,SINGULAR
coma,NOMBRE,COMÚN,MASCULINO,SINGULAR
comandante,NOMBRE,COMÚN,COMÚN,SINGULAR
comandantes,NOMBRE,COMÚN,COMÚN,PLURAL
comando,NOMBRE,COMÚN,MASCULINO,SINGULAR
comandos,NOMBRE,COMÚN,MASCULINO,PLURAL
comarca,NOMBRE,COMÚN,FEMENINO,SINGULAR
comarcas,NOMBRE,COMÚN,FEMENINO,PLURAL
comas,NOMBRE,COMÚN,FEMENINO,PLURAL
comas,NOMBRE,COMÚN,MASCULINO,PLURAL
comba,NOMBRE,COMÚN,FEMENINO,SINGULAR
combas,NOMBRE,COMÚN,FEMENINO,PLURAL
combate,NOMBRE,COMÚN,MASCULINO,SINGULAR
combates,NOMBRE,COMÚN,MASCULINO,PLURAL
combinación,NOMBRE,COMÚN,FEMENINO,SINGULAR
combinaciones,NOMBRE,COMÚN,FEMENINO,PLURAL
comedia,NOMBRE,COMÚN,FEMENINO,SINGULAR
comedias,NOMBRE,COMÚN,FEMENINO,PLURAL
comedor,NOMBRE,COMÚN,MASCULINO,SINGULAR
comedores,NOMBRE,COMÚN,MASCULINO,PLURAL
comensal,NOMBRE,COMÚN,COMÚN,SINGULAR
comensales,NOMBRE,COMÚN,COMÚN,PLURAL
comentario,NOMBRE,COMÚN,MASCULINO,SINGULAR
comentarios,NOMBRE,COMÚN,MASCULINO,PLURAL
comerciante,NOMBRE,COMÚN,COMÚN,SINGULAR
