PALABRA,CATEGORÍA,TIPO,GENERO,NÚMERO,FUNCIÓN
cuartas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
cuarto,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
cuartos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
cuaternaria,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
cuaternarias,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
cuaternario,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
cuaternarios,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
cuatrocientosava,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
cuatrocientosavas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
cuatrocientosavo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
cuatrocientosavos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
cubana,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
cubanas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
cubano,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
cubanos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
cubierta,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,PARTICIPIO
cubiertas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,PARTICIPIO
cubierto,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,PARTICIPIO
cubiertos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,PARTICIPIO
culpable,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
culpables,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
culta,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
cultas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
culto,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
cultos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
cultural,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
culturales,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
cum_laude,ADJETIVO,CALIFICATIVO,COMÚN,INVARIABLE,
curiosa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
curiosas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
curioso,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
curiosos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
danés,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
danesa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
danesas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
daneses,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
debida,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,PARTICIPIO
debidas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,PARTICIPIO
debido,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,PARTICIPIO
debidos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,PARTICIPIO
débil,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
débiles,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
decidida,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,PARTICIPIO
decididas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,PARTICIPIO
decidido,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,PARTICIPIO
decididos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,PARTICIPIO
décima,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
décimas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
décimo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
decimoctava,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
decimoctavas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
decimoctavo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
decimoctavos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
decimocuarta,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
decimocuartas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
decimocuarto,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
decimocuartos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
decimonona,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
decimononas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
decimonono,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
decimononos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
decimonovena,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
decimonovenas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
decimonoveno,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
decimonovenos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
decimoquinta,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
decimoquintas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
decimoquinto,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
decimoquintos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
décimos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
decimoséptima,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
decimoséptimas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
decimoséptimo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
decimoséptimos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
decimosexta,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
decimosextas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
decimosexto,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
decimosextos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
decimotercera,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
decimoterceras,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
decimotercero,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
decimoterceros,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
decisiva,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
decisivas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
decisivo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
decisivos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
decorativa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
decorativas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
decorativo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
decorativos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
décupla,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
décuplas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
décuple,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
décuples,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
décuplo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
décuplos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
defensiva,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
defensivas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
defensivo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
defensivos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
definida,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,PARTICIPIO
definidas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,PARTICIPIO
definido,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,PARTICIPIO
definidos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,PARTICIPIO
definitiva,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
definitivas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
definitivo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
definitivos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
delantera,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
delanteras,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
delantero,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
delanteros,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
delgada,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
delgadas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
delgado,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
delgados,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
delicada,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
delicadas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
delicado,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
delicados,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
deliciosa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
deliciosas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
delicioso,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
deliciosos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
delincuente,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
delincuentes,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
democrtica,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
democráticas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
democrático,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
democráticos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
demográfica,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
demográficas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
demográfico,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
demográficos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
densa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
densas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
denso,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
densos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
dependiente,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
dependientes,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
deportiva,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
deportivas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
deportivo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
deportivos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
derecha,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
derechas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
derecho,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
derechos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
desagradable,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
desagradables,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
descomunal,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
descomunales,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
desconocida,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,PARTICIPIO
desconocidas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,PARTICIPIO
desconocido,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,PARTICIPIO
desconocidos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,PARTICIPIO
descriptiva,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
descriptivas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
descriptivo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
descriptivos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
descubierta,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,PARTICIPIO
descubiertas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,PARTICIPIO
descubierto,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,PARTICIPIO
descubiertos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,PARTICIPIO
deseable,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
deseables,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
desfavorable,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
desfavorables,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
desierta,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
desiertas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
desierto,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
desiertos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
desnuda,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,PARTICIPIO
desnudas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,PARTICIPIO
desnudo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,PARTICIPIO
desnudos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,PARTICIPIO
despierta,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
despiertas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
despierto,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
despiertos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
detallada,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,PARTICIPIO
detalladas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,PARTICIPIO
detallado,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,PARTICIPIO
detallados,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,PARTICIPIO
determinante,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
determinantes,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
dialectal,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
dialectales,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
diaria,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
diarias,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
diario,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
diarios,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
dichosa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
dichosas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
dichoso,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
dichosos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
diecinueveava,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
diecinueveavas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
diecinueveavo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
diecinueveavos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
dieciochava,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
dieciochavas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
dieciochavo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
dieciochavos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
dieciochoava,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
dieciochoavas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
dieciochoavo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
dieciochoavos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
dieciseisava,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
dieciseisavas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
dieciseisavo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
dieciseisavos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
diecisieteava,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
diecisieteavas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
diecisieteavo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
diecisieteavos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
diezmilésima,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
diezmilésimas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
diezmilésimo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
diezmilésimos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
diezmillonésima,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
diezmillonésimas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
diezmillonésimo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
diezmillonésimos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
diezmilmillonésima,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
diezmilmillonésimas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
diezmilmillonésimo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
diezmilmillonésimos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
diferencial,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
diferenciales,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
diferente,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
diferentes,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
difícil,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
difíciles,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
difunta,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
difuntas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
difunto,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
difuntos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
difusa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
difusas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
difuso,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
difusos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
digna,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
dignas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
digno,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
dignos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
diminuta,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
diminutas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
diminuto,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
diminutos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
dinámica,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
dinámicas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
dinámico,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
dinámicos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
diplomática,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
diplomáticas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
diplomático,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
diplomáticos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
directa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
directas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
directo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
director,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
directora,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
directoras,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
directores,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
directos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
dirigente,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
dirigentes,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
discreta,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
discretas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
discreto,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
discretos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
discutible,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
discutibles,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
dispersa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
dispersas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
disperso,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
dispersos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
disponible,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
disponibles,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
distante,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
distantes,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
distinta,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
distintas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
distinto,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
distintos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
diversa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
diversas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
diversificada,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,PARTICIPIO
diversificadas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,PARTICIPIO
diversificado,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,PARTICIPIO
diversificados,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,PARTICIPIO
diverso,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
diversos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
divertida,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,PARTICIPIO
divertidas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,PARTICIPIO
divertido,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,PARTICIPIO
divertidos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,PARTICIPIO
divina,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
divinas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
divino,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
divinos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
divisoria,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
divisorias,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
divisorio,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
divisorios,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
doble,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
dobles,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
doceava,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
doceavas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
doceavo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
doceavos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
dícil,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
díciles,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
documental,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
documentales,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
dolorosa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
dolorosas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
doloroso,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
dolorosos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
doméstica,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
domésticas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
doméstico,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
domésticos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
dominante,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
dominantes,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
dorada,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,PARTICIPIO
doradas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,PARTICIPIO
dorado,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,PARTICIPIO
dorados,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,PARTICIPIO
doscientosava,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
doscientosavas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
doscientosavo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
doscientosavos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
dramática,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
dramáticas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
dramático,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
dramáticos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
ducentésima,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
ducentésimas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
ducentésimo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
ducentésimos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
dudosa,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
dudosas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
dudoso,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
dudosos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
dulce,ADJETIVO,CALIFICATIVO,COMÚN,SINGULAR,
dulces,ADJETIVO,CALIFICATIVO,COMÚN,PLURAL,
duodécima,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
duodécimas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
duodécimo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
duodécimos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
dupla,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
duplas,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
duplo,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
duplos,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
dura,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
duras,ADJETIVO,CALIFICATIVO,FEMENINO,PLURAL,
duro,ADJETIVO,CALIFICATIVO,MASCULINO,SINGULAR,
duros,ADJETIVO,CALIFICATIVO,MASCULINO,PLURAL,
duty_free,ADJETIVO,CALIFICATIVO,COMÚN,INVARIABLE,
ecológica,ADJETIVO,CALIFICATIVO,FEMENINO,SINGULAR,
